f_MHz,S11_dB,Re_Zin,Im_Zin
2.868211200000000076e+02,-1.577304253283338606e-02,5.211811797935277796e-02,1.923636778253334256e+01
2.870380799999999795e+02,-2.192818395412477958e-02,7.246899512481065619e-02,1.924948520537938990e+01
2.872550400000000081e+02,-2.793991914480941502e-02,9.235086755433483119e-02,1.926087238115564304e+01
2.874719999999999800e+02,-3.376330418755719986e-02,1.116136369316398785e-01,1.927058005075474156e+01
2.876889600000000087e+02,-3.935493200435500466e-02,1.301123601952997588e-01,1.927867204472813611e+01
2.879059199999999805e+02,-4.467327489666800960e-02,1.477084279189342930e-01,1.928522478180183697e+01
2.881228800000000092e+02,-4.967901488467645760e-02,1.642706954388493956e-01,1.929032665411134673e+01
2.883398399999999810e+02,-5.433535851598551847e-02,1.796765545870068204e-01,1.929407730356126294e+01
2.885568000000000097e+02,-5.860833285218054745e-02,1.938129342964877710e-01,1.929658679522657749e+01
2.887737599999999816e+02,-6.246705943673214190e-02,2.065772189941677828e-01,1.929797469517584574e+01
2.889907200000000103e+02,-6.588400320214372885e-02,2.178780745562268473e-01,1.929836906147573927e+01
2.892076799999999821e+02,-6.883519348692168638e-02,2.276361726581925538e-01,1.929790535839504884e+01
2.894246400000000108e+02,-7.130041460257757757e-02,2.357848055848315583e-01,1.929672530493424532e+01
2.896415999999999826e+02,-7.326336371442937478e-02,2.422703849534224019e-01,1.929497566974060163e+01
2.898585600000000113e+02,-7.471177417095795081e-02,2.470528193114393811e-01,1.929280702519379176e+01
2.900755199999999832e+02,-7.563750282941879288e-02,2.501057671692773487e-01,1.929037247396164290e+01
2.902924800000000118e+02,-7.603658037016393367e-02,2.514167636775955228e-01,1.928782636160286046e+01
2.905094399999999837e+02,-7.590922406148997714e-02,2.509872208269551264e-01,1.928532298884287854e+01
2.907264000000000124e+02,-7.525981291744125723e-02,2.488323026885877198e-01,1.928301533696095760e+01
2.909433599999999842e+02,-7.409682567571224121e-02,2.449806788037516836e-01,1.928105381931737838e+01
2.911603200000000129e+02,-7.243274249634298889e-02,2.394741603189268486e-01,1.927958507143116762e+01
2.913772799999999847e+02,-7.028391173902881484e-02,2.323672248407050167e-01,1.927875079121313107e+01
2.915942400000000134e+02,-6.767038360082293369e-02,2.237264372015317915e-01,1.927868663998249943e+01
2.918111999999999853e+02,-6.461571278584118949e-02,2.136297743887622946e-01,1.927952121379470896e+01
2.920281600000000140e+02,-6.114673271939800869e-02,2.021658637585412588e-01,1.928137509338946742e+01
2.922451199999999858e+02,-5.729330410945776553e-02,1.894331443362497203e-01,1.928435997978817440e+01
