f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
8.531047499999999673e+02,2.527450638807966499e+00,7.078484084831804068e+01,-1.359664173225459471e+01,-5.184870930833353952e+01,-1.370512859096355562e+01,-5.253886625823207623e+01,6.779317450744525786e+01,-2.317431358423743859e+01
8.535389000000000124e+02,2.564682328796219490e+00,7.084253303815482639e+01,-1.375831986536806362e+01,-5.193333712268907476e+01,-1.387326952456153606e+01,-5.260565046101540787e+01,6.858068141429684772e+01,-2.276195297557909925e+01
8.539730499999999438e+02,2.602805821586167134e+00,7.089990183016617209e+01,-1.392500470465523854e+01,-5.201687845934324628e+01,-1.404527150442147310e+01,-5.267101411376542330e+01,6.939268991760292238e+01,-2.235544783563207716e+01
8.544071999999999889e+02,2.641842742076222716e+00,7.095691757787254517e+01,-1.409683125530947123e+01,-5.209914229647807815e+01,-1.422124760764804030e+01,-5.273483319818252824e+01,7.022983725750584938e+01,-2.195574876060666014e+01
8.548413500000000340e+02,2.681815092600594586e+00,7.101354864575267811e+01,-1.427393394469160448e+01,-5.217992621869919390e+01,-1.440131366219912934e+01,-5.279697361756566920e+01,7.109275670160909044e+01,-2.156386063323226310e+01
8.552754999999999654e+02,2.722745201080510213e+00,7.106976126239517555e+01,-1.445644630337994840e+01,-5.225901576702794671e+01,-1.458558796630270749e+01,-5.285729043995505094e+01,7.198207606629688371e+01,-2.118084576214448234e+01
8.557096500000000106e+02,2.764655658432219276e+00,7.112551936560998911e+01,-1.464450058976470714e+01,-5.233618374592162326e+01,-1.477419095363250889e+01,-5.291562710409596804e+01,7.289841595942203867e+01,-2.080782723595536154e+01
8.561438000000000557e+02,2.807569243908584866e+00,7.118078443933802646e+01,-1.483822735046184249e+01,-5.241118948722486692e+01,-1.496724479789616602e+01,-5.297181458750516470e+01,7.384238770625344728e+01,-2.044599249180626543e+01
8.565779499999999871e+02,2.851508836896046173e+00,7.123551534226227488e+01,-1.503775490810121163e+01,-5.248377807143559437e+01,-1.516487294974539601e+01,-5.302567053624000692e+01,7.481459091714476983e+01,-2.009659709580615328e+01
8.570121000000000322e+02,2.896497313527149231e+00,7.128966812810861597e+01,-1.524320876727733420e+01,-5.255367950725575810e+01,-1.536719959811679637e+01,-5.307699835638425867e+01,7.581561065170890856e+01,-1.976096872987293196e+01
8.574462499999999636e+02,2.942557426292326639e+00,7.134319585773428685e+01,-1.545471092863695617e+01,-5.262060787110185345e+01,-1.557434904725520752e+01,-5.312558626779269133e+01,7.684601413038978990e+01,-1.944051137601772794e+01
8.578804000000000087e+02,2.989711664645301248e+00,7.139604840323401902e+01,-1.567237910021285430e+01,-5.268426040909394459e+01,-1.578644499975228221e+01,-5.317120632129564228e+01,7.790634694018464756e+01,-1.913670968496898439e+01
8.583145500000000538e+02,3.037982094400758726e+00,7.144817224446339310e+01,-1.589632579421928860e+01,-5.274431660505171493e+01,-1.600360973497075179e+01,-5.321361338137764108e+01,7.899712867698343643e+01,-1.885113351108353186e+01
8.587486999999999853e+02,3.087390173511034952e+00,7.149951025857829734e+01,-1.612665729658998259e+01,-5.280043721922013589e+01,-1.622596317120803278e+01,-5.325254407733561379e+01,8.011884796252917340e+01,-1.858544258963593165e+01
8.591828500000000304e+02,3.137956541597894500e+00,7.155000150343640541e+01,-1.636347249560212092e+01,-5.285226330386262816e+01,-1.645362179891356291e+01,-5.328771572711577420e+01,8.127195676950562131e+01,-1.834139132566490815e+01
8.596169999999999618e+02,3.189700780391909074e+00,7.159958099599640491e+01,-1.660686155498490635e+01,-5.289941520351673176e+01,-1.668669747120672753e+01,-5.331882523945970576e+01,8.245686398376516024e+01,-1.812083365543558244e+01
8.600511500000000069e+02,3.242641142015586730e+00,7.164817948719927188e+01,-1.685690441600166167e+01,-5.294149154965113269e+01,-1.692529603688172557e+01,-5.334554800168544375e+01,8.367392812835649352e+01,-1.792572793210161919e+01
8.604853000000000520e+02,3.296794241830859118e+00,7.169572323522481838e+01,-1.711366911214336994e+01,-5.297806826171704131e+01,-1.716951580005471811e+01,-5.336753676242903310e+01,8.492344916998584381e+01,-1.775814177612918243e+01
8.609194499999999834e+02,3.352174712369823339e+00,7.174213377949305936e+01,-1.737720987931760419e+01,-5.300869756919590259e+01,-1.741944578963399692e+01,-5.338442052100944579e+01,8.620565932498557515e+01,-1.762025681831785207e+01
8.613536000000000286e+02,3.408794814689173780e+00,7.178732771833938386e+01,-1.764756504382464541e+01,-5.303290707224726930e+01,-1.767516382093952743e+01,-5.339580343779776683e+01,8.752071277910312119e+01,-1.751437324862365585e+01
8.617877499999999600e+02,3.466664003339962274e+00,7.183121649393258679e+01,-1.792475467002462608e+01,-5.305019886198374479e+01,-1.793673433109360005e+01,-5.340126378310586119e+01,8.886867423368100560e+01,-1.744291406728929061e+01
8.622219000000000051e+02,3.525788441044946264e+00,7.187370618874047068e+01,-1.820877794951520556e+01,-5.306004872529094740e+01,-1.820420596934229707e+01,-5.340035294570146363e+01,9.024950619054412471e+01,-1.740842891584305363e+01
8.626560500000000502e+02,3.586170459140608280e+00,7.191469733868919434e+01,-1.849961031393954514e+01,-5.306190546349031223e+01,-1.847760892332080118e+01,-5.339259452614253831e+01,9.166305488954232317e+01,-1.741359734419977201e+01
